Track,Driver,Car,Lap Time 
goodwood,Arya,28,2:39:340
goodwood,Rishabh,28,1:33:000
goodwood,Sai,28,1:34:200  
brands_hatch,Sai,79,2:12:083
brands_hatch,Arya,79,2:24:183
brands_hatch,Rishabh,79,2:07:430
dragon_trail,Arya,42,2:27:972
dragon_trail,Rishabh,42,2:11:889
dragon_trail,Sai,42,2:05:799
laguna_seca,Sai,49,1:52:137
laguna_seca,Rishabh,49,1:47:777
laguna_seca,Arya,49,2:10:638
willow_springs,Arya,2,1:28:997
willow_springs,Sai,2,1:17:038
willow_springs,Rishabh,2,1:17:689
trial_mountain,Sai,52,2:27:420
trial_mountain,Rishabh,52,2:26:862
nordshleife,Sai,3,
nordshleife,Rishabh,3,
autodrome_lago_maggiore,Sai,65,2:40:210
autodrome_lago_maggiore,Rishabh,65,2:50:375
circuit_de_barcelona,Rishabh,63,2:27:361
circuit_de_barcelona,Sai,63,2:23:478
raceway_road_atlanta,Rishabh,67,1:56:110
raceway_road_atlanta,Sai,67,1:49:525
willow_springs,Rishabh,64,
willow_springs,Sai,64,
suzuka,Sai,55,2:58:519
suzuka,Rishabh,55,2:58:667
sardegna,Rishabh,76,na
sardegna,Sai,76,na
blue_moon,Rishabh,47,1:28:463
blue_moon,Sai,47,1:25:155
alsace,Sai,70,
alsace,Rishabh,70,
monza,Sai,1,1:33:326
monza,Rishabh,1,1:33:690
watkins_glen,Rishabh,19,
watkins_glen,Sai,19,
circuit_de_spa,Rishabh,1,1:59:299
circuit_de_spa,Sai,1, #TODO!
